dataset,model,sample_id,membership,neg_loss,shadow_lira_like_neg_loss
adult_income,random_forest,26678,1,-0.11093156039714813,2.3527297973632812
adult_income,random_forest,33650,1,-0.13926206529140472,2.259155750274658
adult_income,random_forest,36316,1,-0.005012542009353638,2.1577370166778564
adult_income,random_forest,43772,1,-0.005012542009353638,2.1577370166778564
adult_income,random_forest,41891,1,-0.21072103083133698,1.7499054670333862
adult_income,random_forest,24534,1,-0.21072103083133698,1.7499054670333862
adult_income,random_forest,13116,1,-0.10536051541566849,2.363893985748291
adult_income,random_forest,35333,1,0.0,2.1272034645080566
adult_income,random_forest,12232,1,0.0,2.1272034645080566
adult_income,random_forest,3314,1,-0.0100503358989954,2.1864843368530273
adult_income,random_forest,31460,1,0.0,2.1272034645080566
adult_income,random_forest,37342,1,-0.11653381586074829,2.339104413986206
adult_income,random_forest,1495,1,-0.3566749393939972,-0.5060830116271973
adult_income,random_forest,6437,1,0.0,2.1272034645080566
adult_income,random_forest,6454,1,-0.015113637782633305,2.2134175300598145
adult_income,random_forest,43099,1,-0.28768208622932434,0.7637782692909241
adult_income,random_forest,37486,1,0.0,2.1272034645080566
adult_income,random_forest,29545,1,0.0,2.1272034645080566
adult_income,random_forest,30456,1,0.0,2.1272034645080566
adult_income,random_forest,8977,1,-0.08338160812854767,2.384737968444824
adult_income,random_forest,42221,1,-0.025317808613181114,2.2617270946502686
adult_income,random_forest,29356,1,-0.025317808613181114,2.2617270946502686
adult_income,random_forest,36586,1,-0.02020270749926567,2.2385079860687256
adult_income,random_forest,5594,1,0.0,2.1272034645080566
adult_income,random_forest,11610,1,-0.15665380656719208,2.17124342918396
adult_income,random_forest,29584,1,0.0,2.1272034645080566
adult_income,random_forest,33361,1,-0.005012542009353638,2.1577370166778564
adult_income,random_forest,42502,1,0.0,2.1272034645080566
adult_income,random_forest,18976,1,-0.025317808613181114,2.2617270946502686
adult_income,random_forest,7189,1,-0.005012542009353638,2.1577370166778564
adult_income,random_forest,17553,1,-0.03045920841395855,2.2830450534820557
adult_income,random_forest,27019,1,-0.046043939888477325,2.3352878093719482
adult_income,random_forest,29542,1,-0.12216763198375702,2.322977066040039
adult_income,random_forest,13575,1,0.0,2.1272034645080566
adult_income,random_forest,10861,1,-0.005012542009353638,2.1577370166778564
adult_income,random_forest,747,1,0.0,2.1272034645080566
adult_income,random_forest,41580,1,0.0,2.1272034645080566
adult_income,random_forest,11692,1,-0.015113637782633305,2.2134175300598145
adult_income,random_forest,40917,1,0.0,2.1272034645080566
adult_income,random_forest,1448,1,-0.11653381586074829,2.339104413986206
adult_income,random_forest,21679,1,0.0,2.1272034645080566
adult_income,random_forest,19112,1,-0.005012542009353638,2.1577370166778564
adult_income,random_forest,35109,1,-0.03045920841395855,2.2830450534820557
adult_income,random_forest,26253,1,0.0,2.1272034645080566
adult_income,random_forest,31425,1,-0.15082289278507233,2.2033004760742188
adult_income,random_forest,27597,1,-0.0100503358989954,2.1864843368530273
